WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,TB,2,2,0,2,2,0,0,2,0,0,2,2,0,0
2,DET,2,3,0,1,1,1,1,1,0,0,1,1,0,0
3,PIT,2,1,0,1,1,0,1,4,3,0,4,4,0,0
4,BAL,1,1,0,1,1,0,0,5,1,0,5,5,0,0
5,CHI,4,1,0,4,4,0,0,3,1,0,3,3,0,0
6,CIN,4,3,0,4,4,0,0,4,3,0,4,4,0,0
7,GB,2,1,0,2,2,0,0,5,1,0,5,5,0,0
8,SEA,0,3,0,0,0,0,0,1,2,0,1,1,0,0
9,NO,1,1,0,1,1,0,0,4,0,0,4,4,0,0
10,PHI,3,0,0,3,3,0,0,6,1,0,6,6,0,0
11,ATL,2,1,0,2,2,0,0,1,4,0,1,1,0,0
