WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,PIT,3,2,0,3,3,0,0,3,3,0,3,3,0,0
2,NO,3,2,0,2,2,0,1,3,1,0,3,3,0,0
3,BAL,3,0,0,3,3,0,0,2,3,0,2,2,0,0
