WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,GB,4,2,1,4,4,0,0,2,2,0,1,1,0,1
2,SD,3,0,0,3,3,0,0,3,3,0,3,3,0,0
3,DEN,3,2,0,2,2,0,0,2,1,1,1,1,1,1
5,WAS,3,2,0,3,3,0,0,2,1,0,2,2,0,0
6,DAL,2,3,0,2,2,0,0,3,3,0,3,3,0,0
7,OAK,3,2,0,2,2,0,1,4,0,0,4,4,0,0
8,CAR,1,2,0,1,1,0,0,0,3,0,0,0,0,0
9,OAK,3,3,0,3,3,0,0,3,1,0,3,3,0,0
10,NYG,5,1,0,5,5,0,0,2,1,0,2,2,0,0
