WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,IND,4,1,0,4,4,0,0,3,1,0,3,3,0,0
2,KC,3,1,0,3,3,0,0,2,1,0,2,2,0,0
3,SEA,2,1,1,1,1,1,1,3,2,0,2,2,0,0
