WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,SD,2,2,0,0,0,0,2,2,1,0,2,2,0,0
2,NYG,2,4,0,1,1,0,1,2,0,0,2,2,0,0
3,SF,2,3,0,2,2,0,0,2,0,0,2,2,0,0
5,DEN,2,2,0,2,2,0,0,5,2,0,5,5,0,0
6,WAS,3,3,0,3,3,0,0,2,2,0,2,2,0,0
7,OAK,3,1,0,3,3,0,0,1,2,0,1,1,0,0
8,PHI,3,1,0,3,3,0,0,2,2,0,2,2,0,0
9,DAL,4,0,0,4,4,0,0,2,1,0,2,2,0,0
10,STL,4,1,0,4,4,0,0,2,0,0,2,2,0,0
11,DET,2,2,0,2,2,0,0,0,2,0,0,0,0,0
12,SEA,0,1,0,0,0,0,0,1,4,0,1,1,0,0
13,ATL,2,1,0,1,1,1,1,2,5,0,2,2,0,0
